created_at,entry_id,co2_ppm,ch4_ppm
2025-08-19 02:22:27-05:00,547,6000.0,5993.90625
2025-08-19 02:22:53-05:00,548,6000.0,5995.3125
2025-08-19 02:23:16-05:00,549,6000.0,5994.60986
2025-08-19 02:23:40-05:00,550,6000.0,5996.01562
2025-08-19 02:24:04-05:00,551,6000.0,5995.3125
2025-08-19 02:24:27-05:00,552,6000.0,5994.60986
2025-08-19 02:24:51-05:00,553,6000.0,5995.3125
2025-08-19 02:25:16-05:00,554,6000.0,5994.60986
2025-08-19 02:25:40-05:00,555,6000.0,5994.60986
2025-08-19 02:26:03-05:00,556,6000.0,5996.01562
2025-08-19 02:26:28-05:00,557,6000.0,5994.60986
2025-08-19 02:26:52-05:00,558,6000.0,5995.3125
2025-08-19 02:27:16-05:00,559,6000.0,5995.3125
2025-08-19 02:27:40-05:00,560,6000.0,5994.60986
2025-08-19 02:28:04-05:00,561,6000.0,5995.3125
2025-08-19 02:28:28-05:00,562,6000.0,5994.60986
2025-08-19 02:28:52-05:00,563,6000.0,5994.60986
2025-08-19 02:29:16-05:00,564,6000.0,5995.3125
2025-08-19 02:29:40-05:00,565,6000.0,5994.60986
2025-08-19 02:30:05-05:00,566,6000.0,5995.3125
2025-08-19 02:30:29-05:00,567,6000.0,5999.53174
2025-08-19 02:30:52-05:00,568,6000.0,5994.60986
2025-08-19 02:31:16-05:00,569,6000.0,5995.3125
2025-08-19 02:31:40-05:00,570,6000.0,5994.60986
2025-08-19 02:32:04-05:00,571,6000.0,5995.3125
2025-08-19 02:32:28-05:00,572,6000.0,5995.3125
2025-08-19 02:32:53-05:00,573,6000.0,5994.60986
2025-08-19 02:33:16-05:00,574,6000.0,5995.3125
2025-08-19 02:33:43-05:00,575,6000.0,5994.60986
2025-08-19 02:34:05-05:00,576,6000.0,5994.60986
2025-08-19 02:34:29-05:00,577,6000.0,5995.3125
2025-08-19 02:34:53-05:00,578,6000.0,5994.60986
2025-08-19 02:35:18-05:00,579,6000.0,5993.90625
2025-08-19 02:35:41-05:00,580,6000.0,5995.3125
2025-08-19 02:36:29-05:00,581,6000.0,5995.3125
2025-08-19 02:36:53-05:00,582,6000.0,5995.3125
2025-08-19 02:37:17-05:00,583,6000.0,5994.60986
2025-08-19 02:37:42-05:00,584,6000.0,5995.3125
2025-08-19 02:38:08-05:00,585,6000.0,5994.60986
2025-08-19 02:38:30-05:00,586,6000.0,5994.60986
2025-08-19 02:38:53-05:00,587,6000.0,5995.3125
2025-08-19 02:39:17-05:00,588,6000.0,5994.60986
2025-08-19 02:39:42-05:00,589,6000.0,5995.3125
2025-08-19 02:40:06-05:00,590,6000.0,5995.3125
